timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.Dir,CAN_DataFrame.CAN_DataFrame.EDL,CAN_DataFrame.CAN_DataFrame.BRS,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.DataBytes
209.31000000000003,1,0,8,8,1,0,0,7DF,02 01 5E 55 55 55 55 55
209.33005,1,0,8,8,1,0,0,7DF,02 01 1F 55 55 55 55 55
209.33445000000003,1,0,8,8,0,0,0,7E8,04 41 1F 01 76 FF FF FF
209.39005,1,0,8,8,1,0,0,7DF,02 01 0A 55 55 55 55 55
209.41005000000004,1,0,8,8,1,0,0,7DF,02 01 0B 55 55 55 55 55
209.41445000000002,1,0,8,8,0,0,0,7E8,03 41 0B 58 FF FF FF FF
209.43005000000002,1,0,8,8,1,0,0,7DF,02 01 0C 55 55 55 55 55
209.43460000000002,1,0,8,8,0,0,0,7E8,04 41 0C 23 1C FF FF FF
209.45005,1,0,8,8,1,0,0,7DF,02 01 0D 55 55 55 55 55
209.4546,1,0,8,8,0,0,0,7E8,03 41 0D 39 FF FF FF FF
209.47005000000004,1,0,8,8,1,0,0,7DF,02 01 10 55 55 55 55 55
209.49005000000002,1,0,8,8,1,0,0,7DF,02 01 11 55 55 55 55 55
209.49445,1,0,8,8,0,0,0,7E8,03 41 11 51 FF FF FF FF
209.51005,1,0,8,8,1,0,0,7DF,02 01 5E 55 55 55 55 55
209.53005000000005,1,0,8,8,1,0,0,7DF,02 01 1F 55 55 55 55 55
209.53445000000002,1,0,8,8,0,0,0,7E8,04 41 1F 01 76 FF FF FF
209.59005000000005,1,0,8,8,1,0,0,7DF,02 01 0A 55 55 55 55 55
209.61005000000003,1,0,8,8,1,0,0,7DF,02 01 0B 55 55 55 55 55
209.61445,1,0,8,8,0,0,0,7E8,03 41 0B 58 FF FF FF FF
209.63005,1,0,8,8,1,0,0,7DF,02 01 0C 55 55 55 55 55
209.6346,1,0,8,8,0,0,0,7E8,04 41 0C 23 40 FF FF FF
209.65005000000005,1,0,8,8,1,0,0,7DF,02 01 0D 55 55 55 55 55
209.65445000000003,1,0,8,8,0,0,0,7E8,03 41 0D 3A FF FF FF FF
209.67005000000003,1,0,8,8,1,0,0,7DF,02 01 10 55 55 55 55 55
209.69005,1,0,8,8,1,0,0,7DF,02 01 11 55 55 55 55 55
