timestamps,S1_PID_0C_EngineRPM
0.0,2368.0
0.19995000000000118,2351.0
0.40004999999999313,2337.0
0.6000499999999818,2327.0
0.7999499999999955,2331.0
0.9998999999999967,2335.0
1.200349999999986,2344.0
1.4001499999999965,2349.0
1.599899999999991,2357.0
1.7999499999999955,2363.0
2.000199999999978,2367.0
2.2004499999999894,2372.0
2.4001499999999965,2379.0
2.600449999999995,2386.0
2.8004999999999995,2388.0
3.000199999999978,2391.0
3.200649999999996,2396.0
3.4002499999999998,2400.0
3.600399999999979,2399.0
3.8004999999999995,2386.0
4.000399999999985,2379.0
4.199999999999989,2367.0
4.40025,2361.0
4.600149999999985,2363.0
4.795949999999976,2365.0
5.0002999999999815,2374.0
5.2009499999999775,2375.0
5.400349999999975,2382.0
5.600099999999998,2386.0
5.800299999999993,2391.0
6.0011499999999955,2395.0
6.200349999999986,2395.0
6.400299999999987,2391.0
6.600149999999985,2376.0
6.800249999999977,2361.0
7.0005999999999915,2354.0
7.201349999999991,2349.0
7.400449999999978,2348.0
7.600249999999988,2351.0
7.80019999999999,2354.0
8.000749999999982,2359.0
8.200299999999999,2368.0
8.400349999999975,2372.0
8.60039999999998,2381.0
8.800599999999974,2389.0
9.00045,2391.0
9.200349999999986,2400.0
9.400349999999975,2405.0
9.60039999999998,2408.0
9.80064999999999,2417.0
10.00045,2419.0
10.200400000000002,2421.0
10.400649999999985,2423.0
10.600799999999992,2428.0
10.8005,2438.0
11.000749999999982,2442.0
11.200549999999993,2448.0
11.400649999999985,2452.0
11.601099999999974,2452.0
11.800799999999981,2467.0
12.000549999999976,2463.0
12.20059999999998,2461.0
12.400599999999997,2453.0
12.600949999999983,2453.0
12.800899999999984,2457.0
13.000649999999979,2463.0
13.200799999999987,2470.0
13.4007,2478.0
13.600650000000002,2486.0
13.800799999999981,2491.0
14.000749999999982,2497.0
14.20075,2500.0
14.401150000000001,2505.0
14.6019,2515.0
14.800799999999981,2514.0
15.000799999999998,2528.0
15.201399999999978,2524.0
