timestamps,S1_PID_0D_VehicleSpeed
0.0,46
0.2004000000000019,46
0.40004999999999313,45
0.6001500000000135,45
0.8009000000000128,45
1.0006500000000074,45
1.200649999999996,45
1.4005999999999972,45
1.6009500000000116,46
1.8003500000000088,46
2.0005999999999915,46
2.200649999999996,46
2.400650000000013,46
2.6006500000000017,46
2.800600000000003,46
3.0005000000000166,46
3.200649999999996,46
3.4003999999999905,47
3.6003499999999917,47
3.8002500000000055,46
4.00030000000001,46
4.2012,46
4.400300000000016,46
4.600650000000002,46
4.800450000000012,46
5.000400000000013,46
5.200449999999989,46
5.400599999999997,46
5.601200000000006,46
5.80064999999999,46
6.000650000000007,46
6.200400000000002,46
6.400450000000006,46
6.600549999999998,46
6.800450000000012,46
7.0005999999999915,46
7.2006000000000085,46
7.400750000000016,46
7.600699999999989,46
7.80064999999999,46
8.000599999999991,46
8.200700000000012,46
8.400599999999997,46
8.600549999999998,46
8.800600000000003,46
9.000850000000014,46
9.200649999999996,46
9.400650000000013,47
9.600899999999996,47
9.80064999999999,47
10.000699999999995,47
10.201099999999997,47
10.4007,47
10.596699999999998,47
10.800900000000013,47
11.001000000000005,47
11.20105000000001,47
11.400900000000007,48
11.600950000000012,48
11.800900000000013,48
12.001100000000008,48
12.200850000000003,48
12.401049999999998,48
12.600999999999999,48
12.801000000000016,48
13.000850000000014,48
13.201150000000013,48
13.39685,48
13.600899999999996,48
13.801000000000016,48
14.000950000000017,48
14.200950000000006,49
14.401150000000001,49
14.601100000000002,49
14.801000000000016,49
15.001149999999996,49
15.201150000000013,49
15.401299999999992,49
15.601200000000006,49
15.801050000000004,49
16.001350000000002,49
16.20134999999999,50
16.401100000000014,50
16.601100000000002,50
16.801199999999994,50
17.00125,50
17.2012,50
17.4015,50
17.601400000000012,50
17.801299999999998,50
18.00120000000001,51
18.20134999999999,51
18.396800000000013,51
18.601349999999996,51
18.8014,51
19.001400000000018,51
19.201300000000003,52
19.401299999999992,52
19.601400000000012,52
19.80215000000001,52
20.001350000000002,52
20.19735,52
20.401399999999995,52
20.601400000000012,51
20.801450000000017,51
