timestamps,S1_PID_05_EngineCoolantTemp
0.0,49.0
1.0001999999999782,49.0
2.0001499999999908,49.0
3.000249999999994,49.0
4.0,49.0
5.000149999999991,49.0
6.0002999999999815,49.0
7.0002999999999815,49.0
8.000249999999994,49.0
9.000549999999976,49.0
10.00045,49.0
11.000900000000001,49.0
12.000599999999991,49.0
13.001800000000003,49.0
14.000749999999982,49.0
15.001499999999993,49.0
16.000799999999998,49.0
17.001149999999996,49.0
18.002099999999984,49.0
19.000999999999976,49.0
20.00139999999999,49.0
21.001350000000002,49.0
22.001350000000002,49.0
23.00125,49.0
24.001350000000002,49.0
25.00139999999999,49.0
26.001499999999993,49.0
27.00154999999998,49.0
28.001649999999984,49.0
29.0017,49.0
51.003299999999996,51.0
52.00324999999998,51.0
53.00334999999998,51.0
54.0035,51.0
55.00375,51.0
56.0035,51.0
57.00389999999999,51.0
58.00369999999998,51.0
59.00385,52.0
60.00395,52.0
61.00395,52.0
62.00395,52.0
63.005149999999986,52.0
64.00404999999998,52.0
65.00424999999998,53.0
66.00444999999999,53.0
67.00465,53.0
68.0001,53.0
69.00445000000002,53.0
70.00450000000001,53.0
71.00464999999997,53.0
72.00459999999998,54.0
73.00484999999998,54.0
74.00475,54.0
75.00484999999998,54.0
76.00490000000002,54.0
77.00115,54.0
78.00504999999998,55.0
79.00509999999997,55.0
80.0052,56.0
81.00540000000001,56.0
82.00540000000001,56.0
83.00549999999998,57.0
84.00545,58.0
85.00554999999997,58.0
86.00560000000002,58.0
87.00565,59.0
88.00585000000001,59.0
89.00580000000002,59.0
90.00585000000001,60.0
91.00605000000002,61.0
92.00599999999997,61.0
93.0061,61.0
94.00614999999999,61.0
95.00619999999998,62.0
96.00709999999998,62.0
97.00635,62.0
98.00714999999997,63.0
99.00650000000002,63.0
100.00659999999999,63.0
101.00669999999997,63.0
102.00669999999997,63.0
103.00714999999997,63.0
104.00689999999997,63.0
105.007,63.0
106.00709999999998,63.0
107.00720000000001,63.0
108.0077,63.0
109.00720000000001,63.0
110.00765000000001,63.0
129.00869999999998,63.0
130.00889999999998,63.0
131.0088,63.0
132.00885,64.0
133.00894999999997,64.0
134.0091,64.0
135.0091,64.0
136.00905,64.0
137.0093,64.0
138.00914999999998,64.0
139.0093,65.0
140.0093,65.0
141.00945000000002,66.0
142.00945000000002,66.0
143.00955,66.0
144.00975,66.0
145.00984999999997,66.0
146.00979999999998,66.0
147.00979999999998,67.0
148.00995,67.0
149.0102,67.0
150.01,68.0
151.0102,68.0
152.01015,68.0
153.0102,68.0
154.01029999999997,68.0
155.01055000000002,68.0
156.0104,68.0
157.01049999999998,68.0
158.01085,68.0
159.0106,68.0
160.01069999999999,68.0
161.01080000000002,68.0
162.01080000000002,68.0
163.01100000000002,68.0
164.01094999999998,68.0
165.01105,68.0
166.0111,68.0
167.01190000000003,68.0
168.01125000000002,68.0
169.01135,68.0
170.01139999999998,68.0
175.01175,68.0
176.012,68.0
177.012,68.0
178.01205,68.0
179.012,69.0
180.01209999999998,69.0
181.01225,69.0
182.01254999999998,69.0
183.01229999999998,69.0
184.01235000000003,69.0
185.01260000000002,70.0
186.01260000000002,70.0
187.0127,71.0
188.01265,71.0
189.0127,71.0
190.01389999999998,71.0
191.01295,71.0
192.01299999999998,72.0
193.01299999999998,72.0
194.01305000000002,73.0
195.0134,73.0
196.01319999999998,73.0
197.01335,73.0
198.01344999999998,73.0
199.0134,74.0
200.01344999999998,74.0
201.01425,74.0
202.0147,75.0
203.0138,75.0
204.01375000000002,76.0
205.0138,76.0
206.014,76.0
207.01405,76.0
208.014,77.0
209.01420000000002,77.0
210.0145,77.0
211.01434999999998,78.0
212.01465000000002,78.0
213.01434999999998,78.0
214.01445,78.0
215.0149,79.0
216.01530000000002,79.0
217.01495,79.0
218.0147,79.0
219.01479999999998,80.0
220.01594999999998,80.0
221.01504999999997,81.0
222.015,81.0
223.01504999999997,81.0
224.01515,81.0
225.0152,81.0
226.01524999999998,81.0
227.01535,81.0
228.01565,81.0
229.01575000000003,81.0
230.01594999999998,82.0
231.01575000000003,82.0
232.0158,82.0
233.01585,82.0
234.01605,82.0
235.0159,82.0
236.01594999999998,82.0
237.01639999999998,82.0
238.01675,82.0
239.01635,82.0
240.01625,82.0
241.0165,82.0
242.01639999999998,82.0
243.01645000000002,82.0
244.01729999999998,81.0
245.0174,81.0
246.01690000000002,81.0
247.01760000000002,81.0
248.01755000000003,81.0
249.01755000000003,81.0
250.01755000000003,81.0
251.01755000000003,81.0
252.01729999999998,81.0
253.01729999999998,81.0
254.01729999999998,81.0
255.01765,81.0
256.0174,80.0
257.01745,80.0
258.01755,80.0
259.01755,80.0
260.0177,80.0
261.0178,79.0
262.0178,79.0
263.0181,79.0
264.01795,79.0
265.01815,79.0
266.0181,79.0
267.01815,79.0
268.0183,79.0
269.01825,79.0
270.01835,79.0
271.01855,79.0
272.0185,79.0
273.01855,79.0
274.0186,78.0
275.0187,78.0
276.01875,78.0
277.0188,78.0
278.01890000000003,78.0
279.0191,78.0
280.01925,78.0
281.01985,78.0
282.0192,78.0
283.01925,78.0
284.0194,78.0
285.01965,78.0
286.01955,79.0
287.01965,79.0
288.0196,79.0
289.01965,79.0
290.02,80.0
291.0199,80.0
292.0199,80.0
293.02005,81.0
294.0201,81.0
295.0201,81.0
296.02015,81.0
297.0202,81.0
298.0203,81.0
305.02095,83.0
306.02115000000003,83.0
307.0209,83.0
308.021,83.0
309.02105,83.0
310.02115000000003,83.0
311.0213,83.0
312.0214,84.0
313.02135,84.0
