timestamps,ParameterID_Service01
0.0,11
0.02040000000002351,12
0.04005000000000791,13
0.08004999999999995,17
0.12050000000002115,31
0.16035000000002242,5
0.20025000000001114,11
0.2203500000000247,12
0.24045000000000982,13
0.28025000000002365,17
0.3202500000000157,31
0.4002499999999998,11
0.42045000000001664,12
0.44010000000000105,13
0.48020000000002483,17
0.5202500000000043,31
0.600200000000001,11
0.6204500000000053,12
0.6402000000000214,13
0.6801499999999976,17
0.720799999999997,31
0.8008000000000095,11
0.820350000000019,12
0.8409500000000207,13
0.880800000000022,17
0.92055000000002,31
1.0007500000000107,11
1.0203000000000202,12
1.0407000000000153,13
1.0805500000000166,17
1.1213000000000193,31
1.1605500000000006,5
1.2007499999999993,11
1.2207500000000095,12
1.240700000000004,13
1.2805500000000052,17
1.3205000000000098,31
1.4005500000000097,11
1.42055000000002,12
1.440650000000005,13
1.4805000000000064,17
1.5205500000000143,31
1.6004500000000235,11
1.6203000000000145,12
1.6410000000000196,13
1.6805500000000109,17
1.7207500000000095,31
1.8010000000000161,11
1.820350000000019,12
1.8404000000000167,13
1.880250000000018,17
1.9204500000000166,31
1.9961000000000126,11
2.0206000000000017,12
2.0406499999999994,13
2.0805500000000166,17
2.120500000000021,31
2.160500000000013,5
2.200550000000021,11
2.220850000000013,12
2.240700000000004,13
2.2805000000000177,17
2.320850000000007,31
2.400650000000013,11
2.42055000000002,12
2.440700000000021,13
2.4805000000000064,17
2.5206000000000017,31
2.600500000000011,11
2.6208500000000186,12
2.6407000000000096,13
2.6804500000000075,17
2.7209000000000003,31
2.8005500000000154,11
2.820900000000023,12
2.8406500000000108,13
2.880500000000012,17
2.92055000000002,31
3.0002500000000225,11
3.0206000000000017,12
3.0405500000000245,13
3.080200000000019,17
3.1206000000000245,31
3.1606000000000165,5
3.2002999999999986,11
3.2210500000000195,12
3.240700000000004,13
3.2802500000000236,17
3.3212000000000046,31
3.4003000000000156,11
3.4206500000000233,12
3.4404499999999985,13
3.4802999999999997,17
3.520700000000005,31
3.6003000000000043,11
3.6208000000000027,12
3.6403999999999996,13
3.680300000000017,17
3.7207500000000095,31
3.8003000000000213,11
3.820900000000023,12
3.8403000000000134,13
3.8803000000000054,17
3.921600000000012,31
4.000799999999998,11
4.020800000000008,12
4.040350000000018,13
4.0803000000000225,17
4.1206000000000245,31
4.160350000000022,5
4.2003500000000145,11
4.220400000000012,12
4.241250000000008,13
4.2803499999999985,17
4.3206500000000005,31
4.400500000000022,11
4.420650000000023,12
4.440350000000024,13
4.480450000000019,17
4.520450000000011,31
4.596350000000001,11
4.620550000000009,12
4.64070000000001,13
4.681200000000018,17
4.720350000000025,31
4.800550000000015,11
4.81635,12
4.84050000000002,13
4.880350000000021,17
4.920749999999998,31
5.000650000000007,11
5.020700000000005,12
5.040450000000021,13
5.080450000000013,17
5.120500000000021,31
5.160500000000013,5
5.200400000000002,11
5.221350000000001,12
5.240499999999997,13
5.280400000000014,17
5.3206500000000005,31
