timestamps,EngineSpeed
0.0,0.0
0.010600000154227018,0.0
0.020100000081583858,0.0
0.03004999994300306,0.0
0.037650000071153045,8191.875
0.04010000010021031,0.0
0.050100000109523535,0.0
0.060049999970942736,0.0
0.07010000012814999,0.0
0.080250000115484,0.0
0.09004999999888241,0.0
0.10000000009313226,0.0
0.11055000009946525,0.0
0.1201500000897795,0.0
0.13005000003613532,0.0
0.13760000001639128,8191.875
0.14000000013038516,0.0
0.15009999996982515,0.0
0.160050000064075,0.0
0.17015000013634562,0.0
0.1803999999538064,0.0
0.19005000009201467,0.0
0.19999999995343387,0.0
0.21105000004172325,0.0
0.22084999992512167,0.0
0.23005000012926757,0.0
0.23765000002458692,8191.875
0.2400500001385808,0.0
0.2501499999780208,0.0
0.26010000007227063,0.0
0.27010000008158386,0.0
0.28029999998398125,0.0
0.2901000001002103,0.0
0.3000499999616295,0.0
0.3105999999679625,0.0
0.32040000008419156,0.0
0.3300499999895692,0.0
0.3376500001177192,8191.875
0.3400499999988824,0.0
0.35015000007115304,0.0
0.36005000001750886,0.0
0.37009999994188547,0.0
0.3803000000771135,0.0
0.3900999999605119,0.0
0.40005000005476177,0.0
0.41060000006109476,0.0
0.4211000001523644,0.0
0.43094999995082617,0.0
0.4377000001259148,8191.875
0.4401500001549721,0.0
0.45014999993145466,0.0
0.4601499999407679,0.0
0.47020000009797513,0.0
0.48040000000037253,0.0
0.4902000001166016,0.0
0.500050000147894,0.0
0.510600000154227,0.0
0.5204499999526888,0.0
0.5301500000059605,0.0
0.537650000071153,8191.875
0.5401500000152737,0.0
0.5502500000875443,0.0
0.5602500000968575,0.0
0.5708500000182539,0.0
0.5803499999456108,0.0
0.5901500000618398,0.0
0.6000000000931323,0.0
0.6107499999925494,0.0
0.6201500000897795,0.0
0.6300500000361353,0.0
0.6388000000733882,8191.875
0.6400999999605119,0.0
0.6504999999888241,0.0
0.6601500001270324,0.0
0.6701500001363456,0.0
0.680350000038743,0.0
0.6901500001549721,0.0
0.7001000000163913,0.0
0.7107500000856817,0.0
0.7202000000979751,0.0
0.730100000044331,0.0
0.7387500000186265,8191.875
0.7400500001385808,0.0
0.7501499999780208,0.0
0.7601000000722706,0.0
0.7701000000815839,0.0
0.7803500001318753,0.0
0.7901000001002103,0.0
0.8000499999616295,0.0
0.8107499999459833,0.0
0.8205500000622123,0.0
0.8301000001374632,0.0
0.8386999999638647,8191.875
0.8400499999988824,0.0
0.8501999999862164,0.0
0.8601500000804663,0.0
0.8701500000897795,0.0
0.8803000000771135,0.0
0.8902000000234693,0.0
0.9000500000547618,0.0
0.9107500000391155,0.0
0.920600000070408,0.0
0.9300999999977648,0.0
0.9386500001419336,8191.875
0.9400500000920147,0.0
0.9501499999314547,0.0
0.9601000000257045,0.0
0.9701499999500811,0.0
0.9803500000853091,0.0
0.9901499999687076,0.0
1.000050000147894,0.0
1.0107500001322478,0.0
1.0202000001445413,0.0
1.030100000090897,0.0
1.0386500000022352,8191.875
1.0401000001002103,0.0
1.0501999999396503,0.0
1.0601500000339001,0.0
1.07010000012815,0.0
1.0803499999456108,0.0
1.0901999999769032,0.0
1.1000500000081956,0.0
1.1107499999925494,0.0
1.1202000000048429,0.0
1.1301500000990927,0.0
1.1387000000104308,8191.875
1.140099999960512,0.0
1.1502000000327826,0.0
1.1601500001270324,0.0
1.1702499999664724,0.0
1.1806000000797212,0.0
1.190150000154972,0.0
1.200050000101328,0.0
1.2105499999597669,0.0
1.2203999999910593,0.0
1.230100000044331,0.0
1.238700000103563,8191.875
1.2401000000536442,0.0
1.2502000001259148,0.0
1.260149999987334,0.0
1.2702000001445413,0.0
1.2803500001318753,0.0
1.2901500000152737,0.0
1.3000499999616295,0.0
1.3107499999459833,0.0
1.3206500001251698,0.0
1.3301000001374632,0.0
1.3386999999638647,8191.875
